Filename	Author	Licence	URL
cloud.png	shray	CC – 0 	http://www.clker.com/clipart-hello.html
grass.png	OCAL	CC – 0 	http://www.clker.com/clipart-grass-8.html
plane_red.png	Bazizi	CC – 0 	http://www.clker.com/clipart-red-biplane.html
plane_blue.png	OCAL	CC – 0 	http://www.clker.com/clipart-red-blue-wings-biplane.html
plane_green.png	Conor	CC – 0 	http://www.clker.com/clipart-green-biplane.html
bullet.png	Bob Johnson	CC – 0 	http://www.clker.com/clipart-bullet-1.html
SourceCodePro	Open @ Adobe	OFL	http://sourceforge.net/projects/sourcecodepro.adobe/
bg music.wav	WrathGames Studio	CC – BY – 3.0	http://opengameart.org/content/wgs-music-14-years-too-fast
star.png	laobc	CC – 0 	http://openclipart.org/detail/65449/yellow-circled-star-by-laobc
Nuclex.Input.dll	Cygon	Common Public License Version 1.0	http://nuclexframework.codeplex.com/
